mesa_desde,mesa_hasta,vot_parcodigo,total
710,720,3023,32
710,720,3024,10
710,720,3025,22
710,720,3026,384
710,720,3027,153
710,720,9003,0
710,720,9004,21
710,720,9005,79
710,720,9006,1
721,721,047,0
721,721,063,0
721,721,191,3
721,721,234,0
721,721,501,1
721,721,503,2
721,721,505,0
721,721,514,0
721,721,3020,0
721,721,3021,1
721,721,3022,0
721,721,3023,0
721,721,3024,0
721,721,3025,1
721,721,3026,0
721,721,3027,0
721,721,9003,0
721,721,9004,0
721,721,9005,0
721,721,9006,0
722,731,047,128
722,731,063,55
722,731,191,153
722,731,234,34
722,731,501,284
722,731,503,365
722,731,505,237
722,731,514,95
722,731,3020,17
722,731,3021,487
722,731,3022,91
722,731,3023,33
722,731,3024,8
722,731,3025,32
722,731,3026,208
722,731,3027,113
722,731,9003,0
722,731,9004,31
722,731,9005,51
722,731,9006,2
732,738,047,78
732,738,063,42
732,738,191,95
732,738,234,23
732,738,501,176
732,738,503,259
732,738,505,165
732,738,514,79
732,738,3020,15
732,738,3021,335
732,738,3022,57
732,738,3023,17
732,738,3024,9
732,738,3025,24
732,738,3026,156
732,738,3027,79
732,738,9003,0
732,738,9004,23
732,738,9005,29
732,738,9006,2
739,747,047,83
739,747,063,46
739,747,191,164
739,747,234,22
739,747,501,217
739,747,503,303
739,747,505,258
739,747,514,97
739,747,3020,70
739,747,3021,364
739,747,3022,80
739,747,3023,21
739,747,3024,9
739,747,3025,33
739,747,3026,232
739,747,3027,120
739,747,9003,0
739,747,9004,22
739,747,9005,23
739,747,9006,1
748,761,047,124
748,761,063,62
748,761,191,399
748,761,234,68
748,761,501,366
748,761,503,482
748,761,505,408
748,761,514,201
748,761,3020,36
748,761,3021,600
748,761,3022,82
748,761,3023,49
748,761,3024,26
748,761,3025,17
748,761,3026,464
748,761,3027,219
748,761,9003,1
748,761,9004,25
748,761,9005,100
748,761,9006,1
762,775,047,118
762,775,063,43
762,775,191,424
762,775,234,60
762,775,501,341
762,775,503,501
762,775,505,429
762,775,514,204
762,775,3020,70
762,775,3021,540
762,775,3022,76
762,775,3023,43
762,775,3024,28
762,775,3025,17
762,775,3026,445
762,775,3027,250
762,775,9003,5
762,775,9004,28
762,775,9005,102
762,775,9006,0
776,778,047,21
776,778,063,16
776,778,191,83
776,778,234,15
776,778,501,94
776,778,503,88
776,778,505,75
776,778,514,46
776,778,3020,6
776,778,3021,154
776,778,3022,21
776,778,3023,11
776,778,3024,3
776,778,3025,1
776,778,3026,97
776,778,3027,36
776,778,9003,0
776,778,9004,13
776,778,9005,15
776,778,9006,0
779,786,047,60
779,786,063,34
779,786,191,219
779,786,234,34
779,786,501,215
779,786,503,264
779,786,505,242
779,786,514,117
779,786,3020,22
